Subject Number,Subject,Review Board,Subject Area,Scientific Discipline,Fachnummer,Fach,Fachkollegium,Fachgebiet,Wissenschaftsbereich
1.11-01,Prehistory and World Archaeology,"1.11
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",1.11-01,Ur- und Frühgeschichte (weltweit),"1.11
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.11-02,Greek and Latin Philology,"1.11
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",1.11-02,Griechische und Lateinische Philologie,"1.11
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.11-03,Ancient History,"1.11
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",1.11-03,Alte Geschichte,"1.11
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.11-04,"Classical, Roman, Christian and Islamic Archaeology","1.11
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",1.11-04,"Klassische, Provinzialrömische, Christliche und Islamische Archäologie","1.11
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.11-05,Egyptology and Ancient Near Eastern Studies,"1.11
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",1.11-05,Ägyptische und Vorderasiatische Altertumswissenschaften,"1.11
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.12-01,Medieval History,"1.12 
History","11
Humanities","1 
Humanities and Social Sciences",1.12-01,Mittelalterliche Geschichte,"1.12 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.12-02,Early Modern History,"1.12 
History","11
Humanities","1 
Humanities and Social Sciences",1.12-02,Frühneuzeitliche Geschichte,"1.12 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.12-03,Modern and Contemporary History,"1.12 
History","11
Humanities","1 
Humanities and Social Sciences",1.12-03,Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte),"1.12 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.12-04,History of Science,"1.12 
History","11
Humanities","1 
Humanities and Social Sciences",1.12-04,Wissenschaftsgeschichte,"1.12 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.13-01,Art History,"1.13
Art History, Music, Theatre and Media Studies","11
Humanities","1 
Humanities and Social Sciences",1.13-01,Kunstgeschichte,"1.13
Kunst-, Musik-, Theater- und Medienwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.13-02,Musicology,"1.13
Art History, Music, Theatre and Media Studies","11
Humanities","1 
Humanities and Social Sciences",1.13-02,Musikwissenschaften,"1.13
Kunst-, Musik-, Theater- und Medienwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.13-03,Theatre and Media Studies,"1.13
Art History, Music, Theatre and Media Studies","11
Humanities","1 
Humanities and Social Sciences",1.13-03,Theater- und Medienwissenschaften,"1.13
Kunst-, Musik-, Theater- und Medienwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.14-01,"General and Comparative Linguistics, Experimental Linguistics, Typology, Non-European Languages","1.14
Linguistics","11
Humanities","1 
Humanities and Social Sciences",1.14-01,"Allgemeine und Vergleichende Sprachwissenschaft, Experimentelle Linguistik, Typologie, Außereuropäische Sprachen","1.14
Sprachwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.14-02,"Individual Linguistics, Historical Linguistics","1.14
Linguistics","11
Humanities","1 
Humanities and Social Sciences",1.14-02,"Einzelsprachenwissenschaften, Historische Linguistik","1.14
Sprachwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.14-03,"Applied Linguistics, Computational Linguistics","1.14
Linguistics","11
Humanities","1 
Humanities and Social Sciences",1.14-03,"Angewandte Sprachwissenschaften, Computerlinguistik","1.14
Sprachwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.15-01,German Medieval Studies (Medieval German Literature),"1.15 
Literary Studies","11
Humanities","1 
Humanities and Social Sciences",1.15-01,Germanistische Mediävistik (Ältere deutsche Literatur),"1.15 
Literaturwissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.15-02,German Literary and Cultural Studies (Modern German Literature),"1.15 
Literary Studies","11
Humanities","1 
Humanities and Social Sciences",1.15-02,Germanistische Literatur-und Kulturwissenschaften (Neuere deutsche Literatur),"1.15 
Literaturwissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.15-03,European and American Literary and Cultural Studies,"1.15 
Literary Studies","11
Humanities","1 
Humanities and Social Sciences",1.15-03,Europäische und Amerikanische Literatur- und Kulturwissenschaften,"1.15 
Literaturwissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.15-04,General and Comparative Literary Studies; Cultural Studies,"1.15 
Literary Studies","11
Humanities","1 
Humanities and Social Sciences",1.15-04,Allgemeine und vergleichende Literaturwissenschaft; Kulturwissenschaft,"1.15 
Literaturwissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.16-01,Social and Cultural Anthropology and Ethnology,"1.16 
Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies","11
Humanities","1 
Humanities and Social Sciences",1.16-01,Ethnologie und Europäische Ethnologie,"1.16 
Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.16-02,Asian Studies,"1.16 
Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies","11
Humanities","1 
Humanities and Social Sciences",1.16-02,Asienbezogene Wissenschaften,"1.16 
Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.16-03,"African, American and Oceania Studies","1.16 
Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies","11
Humanities","1 
Humanities and Social Sciences",1.16-03,"Afrika-, Amerika- und Ozeanienbezogene Wissenschaften","1.16 
Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.16-04,"Islamic Studies, Arabian Studies, Semitic Studies","1.16 
Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies","11
Humanities","1 
Humanities and Social Sciences",1.16-04,"Islamwissenschaft, Arabistik, Semitistik","1.16 
Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.16-05,Religious Studies and Jewish Studies,"1.16 
Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies","11
Humanities","1 
Humanities and Social Sciences",1.16-05,Religionswissenschaft und Judaistik,"1.16 
Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.17-01,Protestant Theology,"1.17 
Theology","11
Humanities","1 
Humanities and Social Sciences",1.17-01,Evangelische Theologie,"1.17 
Theologie","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.17-02,Roman Catholic Theology,"1.17 
Theology","11
Humanities","1 
Humanities and Social Sciences",1.17-02,Katholische Theologie,"1.17 
Theologie","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.18-01,History of Philosophy,"1.18 
Philosophy","11
Humanities","1 
Humanities and Social Sciences",1.18-01,Geschichte der Philosophie,"1.18 
Philosophie","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.18-02,Theoretical Philosophy,"1.18 
Philosophy","11
Humanities","1 
Humanities and Social Sciences",1.18-02,Theoretische Philosophie,"1.18 
Philosophie","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.18-03,Practical Philosophy,"1.18 
Philosophy","11
Humanities","1 
Humanities and Social Sciences",1.18-03,Praktische Philosophie,"1.18 
Philosophie","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.21-01,General Education and History of Education,"1.21
Educational Research","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.21-01,Allgemeine und Historische Erziehungswissenschaft,"1.21
Erziehungswissenschaft und Bildungsforschung","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.21-02,General and Domain-Specific Teaching and Learning,"1.21
Educational Research","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.21-02,Allgemeines und fachbezogenes Lehren und Lernen,"1.21
Erziehungswissenschaft und Bildungsforschung","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.21-03,Education Systems and Educational Institutions,"1.21
Educational Research","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.21-03,Bildungssysteme und Bildungsinstitutionen,"1.21
Erziehungswissenschaft und Bildungsforschung","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.21-04,"Educational Research on Socialisation, Welfare and Professionalism","1.21
Educational Research","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.21-04,Erziehungswissenschaftliche Sozialisations- und Professionalitätsforschung,"1.21
Erziehungswissenschaft und Bildungsforschung","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.22-01,"General, Cognitive and Mathematical Psychology","1.22
Psychology","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.22-01,"Allgemeine, Kognitive und Mathematische Psychologie","1.22
Psychologie","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.22-02,Biological Psychology and Cognitive Neuroscience,"1.22
Psychology","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.22-02,Biologische Psychologie und Kognitive Neurowissenschaften,"1.22
Psychologie","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.22-03,Developmental and Educational Psychology,"1.22
Psychology","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.22-03,Entwicklungspsychologie und Pädagogische Psychologie,"1.22
Psychologie","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.22-04,"Social Psychology, Industrial and Organisational Psychology","1.22
Psychology","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.22-04,Sozialpsychologie und Arbeits- und Organisationspsychologie,"1.22
Psychologie","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.22-05,"Personality Psychology, Clinical and Medical Psychology, Methodology","1.22
Psychology","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.22-05,"Persönlichkeitspsychologie, Klinische und Medizinische Psychologie, Methoden","1.22
Psychologie","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.23-01,Sociological Theory,"1.23
Social Sciences","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.23-01,Soziologische Theorie,"1.23
Sozialwissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.23-02,Empirical Social Research,"1.23
Social Sciences","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.23-02,Empirische Sozialforschung,"1.23
Sozialwissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.23-03,Communication Sciences,"1.23
Social Sciences","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.23-03,Publizistik und Kommunikationswissenschaft,"1.23
Sozialwissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.23-04,Political Science,"1.23
Social Sciences","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.23-04,Politikwissenschaft,"1.23
Sozialwissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.24-01,Economic Theory,"1.24
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.24-01,Wirtschaftstheorie,"1.24
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.24-02,"Economic Policy, Applied Economics","1.24
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.24-02,"Wirtschaftspolitik, Angewandte Volkswirtschaftslehre","1.24
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.24-03,Accounting und Finance,"1.24
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.24-03,Accounting und Finance,"1.24
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.24-04,Management and Marketing,"1.24
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.24-04,Management und Marketing,"1.24
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.24-05,Operations Management and Computer Science for Business Administration,"1.24
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.24-05,Operations Management und BWL-spezifische Wirtschaftsinformatik,"1.24
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.24-06,Statistics and Econometrics,"1.24
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.24-06,Statistik und Ökonometrie,"1.24
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.24-07,Economic and Social History,"1.24
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.24-07,Wirtschafts- und Sozialgeschichte,"1.24
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.25-01,Principles of Law and Jurisprudence,"1.25
Jurisprudence","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.25-01,Grundlagen des Rechts und der Rechtswissenschaft,"1.25
Rechtswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.25-02,Private Law,"1.25
Jurisprudence","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.25-02,Privatrecht,"1.25
Rechtswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.25-03,Public Law,"1.25
Jurisprudence","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.25-03,Öffentliches Recht,"1.25
Rechtswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.25-04,Criminal Law,"1.25
Jurisprudence","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.25-04,Strafrecht,"1.25
Rechtswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
1.25-05,Criminology,"1.25
Jurisprudence","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",1.25-05,Kriminologie,"1.25
Rechtswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
2.11-01,Biochemistry,"2.11 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",2.11-01,Biochemie,"2.11 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
2.11-02,Biophysics,"2.11 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",2.11-02,Biophysik,"2.11 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
2.11-03,Cell Biology,"2.11 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",2.11-03,Zellbiologie,"2.11 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
2.11-04,Structural Biology,"2.11 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",2.11-04,Strukturbiologie,"2.11 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
2.11-05,General Genetics and Functional Genome Biology,"2.11 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",2.11-05,Allgemeine Genetik und funktionelle Genomforschung,"2.11 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
2.11-06,Developmental Biology,"2.11 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",2.11-06,Entwicklungsbiologie,"2.11 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
2.11-07,Bioinformatics and Theoretical Biology,"2.11 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",2.11-07,Bioinformatik und Theoretische Biologie,"2.11 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
2.12-01,Evolution and Systematics of Plants and Fungi,"2.12 
Plant Sciences","21 
Biology","2 
Life Sciences",2.12-01,Evolution und Systematik der Pflanzen und Pilze,"2.12 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
2.12-02,Ecology and Biodiversity of Plants and Ecosystems,"2.12 
Plant Sciences","21 
Biology","2 
Life Sciences",2.12-02,Ökologie und Biodiversität der Pflanzen und Ökosysteme,"2.12 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
2.12-03,"Organismic Interactions, Chemical Ecology and Microbiomes of Plant Systems","2.12 
Plant Sciences","21 
Biology","2 
Life Sciences",2.12-03,"Organismische Interaktionen, chemische Ökologie und Mikrobiome pflanzlicher Systeme","2.12 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
2.12-04,Plant Physiology,"2.12 
Plant Sciences","21 
Biology","2 
Life Sciences",2.12-04,Pflanzenphysiologie,"2.12 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
2.12-05,Plant Biochemistry and Biophysics,"2.12 
Plant Sciences","21 
Biology","2 
Life Sciences",2.12-05,Biochemie und Biophysik der Pflanzen,"2.12 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
2.12-06,Plant Cell and Developmental Biology,"2.12 
Plant Sciences","21 
Biology","2 
Life Sciences",2.12-06,Zell- und Entwicklungsbiologie der Pflanzen,"2.12 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
2.12-07,Plant Genetics and Genomics,"2.12 
Plant Sciences","21 
Biology","2 
Life Sciences",2.12-07,Genetik und Genomik der Pflanzen,"2.12 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
2.13-01,Systematics and Morphology (Zoology),"2.13 
Zoology","21 
Biology","2 
Life Sciences",2.13-01,Systematik und Morphologie der Tiere,"2.13 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
2.13-02,"Evolution, Anthropology","2.13 
Zoology","21 
Biology","2 
Life Sciences",2.13-02,"Evolution, Anthropologie","2.13 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
2.13-03,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions","2.13 
Zoology","21 
Biology","2 
Life Sciences",2.13-03,"Ökologie und Biodiversität der Tiere und Ökosysteme, Organismische Interaktionen","2.13 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
2.13-04,Sensory and Behavioural Biology,"2.13 
Zoology","21 
Biology","2 
Life Sciences",2.13-04,Biologie des Verhaltens und der Sinne,"2.13 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
2.13-05,Animal Physiology and Biochemistry,"2.13 
Zoology","21 
Biology","2 
Life Sciences",2.13-05,Biochemie und Physiologie der Tiere,"2.13 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
2.13-06,Evolutionary Cell and Developmental Biology (Zoology),"2.13 
Zoology","21 
Biology","2 
Life Sciences",2.13-06,Evolutionäre Zell- und Entwicklungsbiologie der Tiere,"2.13 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
2.21-01,"Metabolism, Biochemistry and Genetics of Microorganisms","2.21
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",2.21-01,"Stoffwechselphysiologie, Biochemie und Genetik der Mikroorganismen","2.21
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
2.21-02,Microbial Ecology and Applied Microbiology,"2.21
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",2.21-02,Mikrobielle Ökologie und Angewandte Mikrobiologie,"2.21
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
2.21-03,"Medical Microbiology and Mycology, Hygiene, Molecular Infection Biology","2.21
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",2.21-03,"Medizinische Mikrobiologie und Mykologie, Hygiene, Molekulare Infektionsbiologie","2.21
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
2.21-04,Virology,"2.21
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",2.21-04,Virologie,"2.21
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
2.21-05,Immunology,"2.21
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",2.21-05,Immunologie,"2.21
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
2.21-06,Parasitology and Biology of Tropical Infectious Disease Pathogens,"2.21
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",2.21-06,Parasitologie und Biologie der Erreger tropischer Infektionskrankheiten,"2.21
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
2.22-01,Epidemiology and Medical Biometry/Statistics,"2.22
Medicine","22 
Medicine","2 
Life Sciences",2.22-01,Epidemiologie und Medizinische Biometrie/Statistik,"2.22
Medizin","22 
Medizin","2 
Lebenswissenschaften"
2.22-02,"Public Heatlh, Healthcare Research, Social and Occupational Medicine","2.22
Medicine","22 
Medicine","2 
Life Sciences",2.22-02,"Public Health, Gesundheitsbezogene Versorgungsforschung, Sozial- und Arbeitsmedizin","2.22
Medizin","22 
Medizin","2 
Lebenswissenschaften"
2.22-03,Human Genetics,"2.22
Medicine","22 
Medicine","2 
Life Sciences",2.22-03,Humangenetik,"2.22
Medizin","22 
Medizin","2 
Lebenswissenschaften"
2.22-04,Anatomy and Physiology,"2.22
Medicine","22 
Medicine","2 
Life Sciences",2.22-04,Anatomie und Physiologie,"2.22
Medizin","22 
Medizin","2 
Lebenswissenschaften"
2.22-05,Nutritional Sciences,"2.22
Medicine","22 
Medicine","2 
Life Sciences",2.22-05,Ernährungswissenschaften,"2.22
Medizin","22 
Medizin","2 
Lebenswissenschaften"
2.22-06,Pathology,"2.22
Medicine","22 
Medicine","2 
Life Sciences",2.22-06,Pathologie,"2.22
Medizin","22 
Medizin","2 
Lebenswissenschaften"
2.22-07,Medical Informatics and Medical Bioinformatics,"2.22
Medicine","22 
Medicine","2 
Life Sciences",2.22-07,Medizininformatik und medizinische Bioinformatik,"2.22
Medizin","22 
Medizin","2 
Lebenswissenschaften"
2.22-08,Pharmacy,"2.22
Medicine","22 
Medicine","2 
Life Sciences",2.22-08,Pharmazie,"2.22
Medizin","22 
Medizin","2 
Lebenswissenschaften"
2.22-09,Pharmacology,"2.22
Medicine","22 
Medicine","2 
Life Sciences",2.22-09,Pharmakologie,"2.22
Medizin","22 
Medizin","2 
Lebenswissenschaften"
2.22-10,"Toxicology, Laboratory Medicine","2.22
Medicine","22 
Medicine","2 
Life Sciences",2.22-10,"Toxikologie, Laboratoriumsmedizin","2.22
Medizin","22 
Medizin","2 
Lebenswissenschaften"
